country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",07-04-2026 21:00,25.56752,83.966379,PM10,NA,NA,NA
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",07-04-2026 21:00,25.7808257,84.7446768,NO2,3,4,4
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",07-04-2026 21:00,24.7955,84.9994,PM2.5,NA,NA,NA
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",07-04-2026 21:00,24.762518,84.982348,NO2,18,34,24
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",07-04-2026 21:00,25.697189,85.2459,PM10,67,478,181
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",07-04-2026 21:00,25.697189,85.2459,NO2,27,56,45
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",07-04-2026 21:00,27.308328,84.531742,CO,32,32,32
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",07-04-2026 21:00,26.63086,84.90051,PM2.5,15,240,56
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",07-04-2026 21:00,26.63086,84.90051,SO2,3,3,3
India,Bihar,Munger,"Town Hall, Munger - BSPCB",07-04-2026 21:00,25.376776,86.471523,PM2.5,15,73,43
India,Bihar,Munger,"Town Hall, Munger - BSPCB",07-04-2026 21:00,25.376776,86.471523,PM10,15,70,41
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",07-04-2026 21:00,26.11442,85.39813,NH3,16,23,20
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",07-04-2026 21:00,26.1403345,85.3650192,NO2,5,14,7
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",07-04-2026 21:00,25.586562,85.043586,OZONE,1,58,33
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",07-04-2026 21:00,25.592539,85.227158,OZONE,3,84,61
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",07-04-2026 21:00,25.610369,85.132568,PM2.5,33,223,82
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",07-04-2026 21:00,25.610369,85.132568,OZONE,59,60,60
India,Bihar,Patna,"Muradpur, Patna - BSPCB",07-04-2026 21:00,25.619651,85.147382,NH3,4,5,5
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",07-04-2026 21:00,25.697189,85.2459,OZONE,10,170,98
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",07-04-2026 21:00,25.560083,87.553265,PM10,56,139,86
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",07-04-2026 21:00,25.560083,87.553265,CO,76,94,87
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",07-04-2026 21:00,25.599486,85.113666,OZONE,26,35,29
India,Bihar,Patna,"Samanpura, Patna - BSPCB",07-04-2026 21:00,25.596727,85.085624,OZONE,24,37,31
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",07-04-2026 21:00,25.892357,86.590325,NH3,4,4,4
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",07-04-2026 21:00,25.892357,86.590325,CO,32,40,39
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",07-04-2026 21:00,24.952822,84.002396,PM10,30,97,58
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",07-04-2026 21:00,24.952822,84.002396,NO2,2,15,4
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",07-04-2026 21:00,24.952822,84.002396,OZONE,12,32,21
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",07-04-2026 21:00,25.0328,85.41948,OZONE,25,29,26
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",07-04-2026 21:00,22.1910172,83.5197009,CO,12,44,23
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",07-04-2026 21:00,21.258815,81.578979,PM2.5,26,57,38
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",07-04-2026 21:00,21.258815,81.578979,SO2,5,7,6
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",07-04-2026 21:00,21.219665,81.630094,SO2,1,4,2
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",07-04-2026 21:00,21.219665,81.630094,OZONE,2,10,5
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",07-04-2026 21:00,21.237755,81.705301,SO2,2,9,5
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",07-04-2026 21:00,21.237755,81.705301,CO,13,22,15
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",07-04-2026 21:00,21.371751,81.664929,PM2.5,18,44,29
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",07-04-2026 21:00,21.371751,81.664929,NO2,11,19,14
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",07-04-2026 21:00,21.371751,81.664929,NH3,3,3,3
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",07-04-2026 21:00,21.371751,81.664929,SO2,1,40,12
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",07-04-2026 21:00,21.371751,81.664929,OZONE,3,41,28
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",07-04-2026 21:00,22.06631475,83.33820077,NO2,36,96,59
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ",07-04-2026 21:00,28.594169,77.1251,NH3,4,9,6
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ",07-04-2026 21:00,28.594169,77.1251,CO,24,54,40
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",07-04-2026 21:00,28.656756,77.227234,PM10,42,188,122
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",07-04-2026 21:00,28.656756,77.227234,NH3,7,14,9
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",07-04-2026 21:00,28.615828,77.271992,CO,26,78,55
India,Delhi,Delhi,"DTU, Delhi - CPCB",07-04-2026 21:00,28.7500499,77.1112615,PM2.5,19,190,73
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",07-04-2026 21:00,28.498571,77.26484,PM2.5,27,143,54
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",07-04-2026 21:00,28.498571,77.26484,SO2,10,30,16
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",07-04-2026 21:00,21.194815,81.31477,NO2,6,42,20
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",07-04-2026 21:00,21.194815,81.31477,CO,12,53,18
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",07-04-2026 21:00,21.185571,81.343175,PM10,38,76,58
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",07-04-2026 21:00,21.185571,81.343175,SO2,7,10,8
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",07-04-2026 21:00,21.185571,81.343175,OZONE,9,13,12
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",07-04-2026 21:00,21.224231,81.40835,NH3,4,6,5
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",07-04-2026 21:00,21.224231,81.40835,OZONE,6,28,20
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",07-04-2026 21:00,22.08815,82.13737,NO2,17,105,30
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",07-04-2026 21:00,22.118125,83.140608,NH3,5,5,5
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",07-04-2026 21:00,22.118125,83.140608,OZONE,13,122,106
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",07-04-2026 21:00,22.368195,82.746431,PM2.5,8,22,15
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",07-04-2026 21:00,22.368195,82.746431,NH3,1,1,1
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",07-04-2026 21:00,22.368195,82.746431,CO,12,26,16
